position,player,team,age,total_value,avg_year,total_guaranteed,fully_guaranteed,free_agency,MAX,MIN,sum,sumif,sumifs,If,ifs,len,left,right,trim,concatenate,substitute,substitute,xlookup,vlookup
3-4-outside-linebacker,T.J. Watt,Steelers,25,9258810,2314703,7933745,7933745,2021 UFA,,,,,,Young,#N/A,9,T.J. W,elers,T.J. Watt,Texans - Brennan Scarlett,Texans - Brennan Scarlett,,,
3-4-outside-linebacker,Brennan Scarlett,Texans,26,2025000,2025000,0,0,2020 UFA,,,,,,Young,#N/A,16,Brenna,exans,Brennan Scarlett,Titans - Harold Landry,Titans - Harold Landry,,,
3-4-outside-linebacker,Harold Landry,Titans,23,6733690,1683423,4243305,4243305,2022 UFA,,,,,,Young,#N/A,13,Harold,itans,Harold Landry,Cowboys - Demarcus Lawrence,Cowboys - Demarcus Lawrence,,,
4-3-defensive-end,Demarcus Lawrence,Cowboys,27,105000000,21000000,65000000,48000000,2024 UFA,,,,,,Young,#N/A,17,Demarc,wboys,Demarcus Lawrence,Bears - Khalil Mack,Bears - Khalil Mack,,,
edge-rusher,Khalil Mack,Bears,28,141000000,23500000,90000000,60000000,2025 UFA,,,,,,Young,#N/A,11,Khalil,Bears,Khalil Mack,Titans - Austin Pasztor,Titans - Austin Pasztor,,,
right-tackle,Austin Pasztor,Titans,29,1720000,860000,0,0,2020 UFA,,,,,,Young,#N/A,14,Austin,itans,Austin Pasztor,Chargers - Trey Pipkins,Chargers - Trey Pipkins,,,
right-tackle,Trey Pipkins,Chargers,0,3402116,850529,0,0,2020 ERFA,,,,,,Young,#N/A,12,Trey P,rgers,Trey Pipkins,Bears - TJ Clemmings,Bears - TJ Clemmings,,,
right-tackle,TJ Clemmings,Bears,28,805000,805000,0,0,2020 UFA,,,,,,Young,#N/A,12,TJ Cle,Bears,TJ Clemmings,Broncos - Chaz Green,Broncos - Chaz Green,,,
right-tackle,Chaz Green,Broncos,25,805000,805000,0,0,2020 UFA,,,,,,Young,#N/A,10,Chaz G,oncos,Chaz Green,Steelers - Stephon Tuitt,Steelers - Stephon Tuitt,,,
3-4-defensive-end,Stephon Tuitt,Steelers,26,60000000,12000000,14000000,14000000,2023 UFA,,,,,,Young,#N/A,13,Stepho,elers,Stephon Tuitt,Bears - Akiem Hicks,Bears - Akiem Hicks,,,
3-4-defensive-end,Akiem Hicks,Bears,30,48000000,12000000,30000000,22000000,2022 UFA,,,,,,Young,Thirty,11,Akiem ,Bears,Akiem Hicks,Rams - Michael Brockers,Rams - Michael Brockers,,,
