Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
106,Flynn Downes,eng ENG,MF,West Ham,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,69fdb896
107,Cody Drameh,eng ENG,DF,Leeds United,20,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1,Matches,e0d1510a
108,Shane Duffy,ie IRL,DFFW,Fulham,30,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7314bba4
109,Lewis Dunk,eng ENG,DF,Brighton,30,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03,Matches,282f75f3
110,Malcolm Ebiowei,eng ENG,FW,Crystal Palace,19,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fa9fa773
111,Ederson,br BRA,GK,Manchester City,29,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3bb7b8b4
112,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,6,3,285,3.2,0,1,0,0,0,1,0,0,0.32,0.32,0,0.32,0.9,0.9,0.3,1.2,0.29,0.09,0.38,0.29,0.38,Matches,0562b7f1
113,Samuel Edozie,eng ENG,MFFW,Southampton,19,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches,007414dd
114,Anthony Elanga,se SWE,FW,Manchester Utd,20,5,3,214,2.4,0,1,0,0,0,0,0,0,0.42,0.42,0,0.42,0.5,0.5,0.8,1.3,0.22,0.34,0.56,0.22,0.56,Matches,2fba6108
115,Harvey Elliott,eng ENG,MF,Liverpool,19,6,5,422,4.7,1,0,1,0,0,0,0,0.21,0,0.21,0.21,0.21,0.5,0.5,1.3,1.8,0.1,0.28,0.38,0.1,0.38,Matches,c8387671
